class_id,class_name,mean_dice,mean_iou,support_samples
1,spleen,0.6665893720209729,0.6076514738126904,153
2,right_kidney,0.5607682157006192,0.5122241963424825,118
3,left_kidney,0.5989429984502335,0.5482406746662117,154
4,gallbladder,0.5353522332704234,0.4578072720655186,87
5,esophagus,0.605674863232156,0.4942771827087146,151
6,liver,0.8706684013422146,0.8255348143153566,247
7,stomach,0.6907766895982685,0.5984290659896914,164
8,aorta,0.6653990013776365,0.6043267847529779,332
9,inferior_vena_cava,0.4821705314142676,0.41731535952437676,287
10,portal_and_splenic_vein,0.3331014513258136,0.2635813356124269,102
11,pancreas,0.43113454894947606,0.32601119378646926,129
12,right_adrenal_gland,0.0,0.0,49
13,left_adrenal_gland,0.0,0.0,54
14,organ_14,0.4108837064649165,0.2990979992585506,165
