epoch,train_loss,train_dice,train_iou,val_loss,val_dice,val_iou,is_best
1,2.415763,0.076159,0.063021,2.011814,0.058631,0.049985,1
2,1.747942,0.094148,0.078486,1.640971,0.083738,0.069302,1
3,1.399325,0.133044,0.115217,1.390793,0.116326,0.096170,1
4,1.184078,0.207654,0.179015,1.259413,0.136458,0.113951,1
5,1.030607,0.259659,0.228583,1.213017,0.155985,0.130751,1
6,0.928444,0.294660,0.261377,1.161715,0.163501,0.136665,1
7,0.843921,0.353987,0.313002,1.144525,0.163427,0.136545,0
8,0.756516,0.405834,0.360407,1.160697,0.176541,0.145387,1
9,0.714380,0.429209,0.381104,1.107597,0.226227,0.191039,1
10,0.641694,0.475865,0.420995,1.086834,0.265760,0.220768,1
11,0.597119,0.496591,0.439151,1.158345,0.210217,0.171717,0
12,0.559393,0.518986,0.461246,1.079766,0.274889,0.229087,1
13,0.529891,0.545332,0.486692,1.122457,0.230831,0.190683,0
14,0.486506,0.588368,0.524246,1.073590,0.303133,0.247423,1
15,0.459399,0.613510,0.546726,1.112210,0.281128,0.232441,0
16,0.430184,0.645126,0.577855,1.069991,0.299855,0.245156,0
17,0.415465,0.660878,0.593263,1.075340,0.296553,0.245869,0
18,0.399097,0.680193,0.612572,1.045628,0.368648,0.311086,1
19,0.386673,0.697591,0.630061,1.058445,0.328588,0.272676,0
20,0.380154,0.705766,0.639145,1.080319,0.322084,0.265710,0
21,0.380615,0.714830,0.647779,1.068883,0.343758,0.288001,0
22,0.370188,0.723752,0.656285,1.109579,0.319816,0.264221,0
23,0.356427,0.729909,0.663004,1.097094,0.360632,0.300755,0
24,0.373974,0.724192,0.657827,1.104220,0.311564,0.261435,0
25,0.350543,0.744435,0.678973,1.079061,0.337540,0.282849,0
26,0.349174,0.748975,0.682918,1.096102,0.364869,0.306570,0
27,0.341834,0.769125,0.703536,1.075457,0.368547,0.312476,0
28,0.331858,0.757930,0.691772,1.115248,0.323094,0.269721,0
29,0.323342,0.756092,0.688136,1.096761,0.353041,0.296920,0
30,0.320160,0.756965,0.688857,1.136589,0.309825,0.260287,0
