class_id,class_name,mean_dice,mean_iou,support_samples
1,spleen,0.6864795549560806,0.6319102317315838,133
2,right_kidney,0.39979875655260677,0.3570898650762085,148
3,left_kidney,0.4937643588140822,0.4423911757838676,144
4,gallbladder,0.48194091377023884,0.41106193466450236,95
5,esophagus,0.6132987575567747,0.5087652656871501,151
6,liver,0.7860561112228321,0.7356601145774972,264
7,stomach,0.6485657574649368,0.5530104256982843,168
8,aorta,0.6085792240792912,0.5537173002692057,311
9,inferior_vena_cava,0.5599042022491716,0.4933748468734313,311
10,portal_and_splenic_vein,0.33702897198077003,0.2730537077637875,115
11,pancreas,0.5132195849461717,0.4046015821141965,149
12,right_adrenal_gland,0.2811056587990279,0.2150469798865793,83
13,left_adrenal_gland,0.14814419875500293,0.10493137117198746,66
14,organ_14,0.4684828742309277,0.360264987620278,167
