epoch,train_loss,train_dice,train_iou,val_loss,val_dice,val_iou,is_best
1,2.184405,0.083450,0.068990,1.704303,0.070464,0.060081,1
2,1.385790,0.112862,0.096642,1.332429,0.099330,0.083632,1
3,1.119544,0.180165,0.154688,1.225502,0.132545,0.109746,1
4,0.987925,0.232364,0.200602,1.192012,0.114858,0.096398,0
5,0.895802,0.266614,0.229836,1.142519,0.187725,0.159115,1
6,0.805534,0.334162,0.286106,1.122467,0.204366,0.164892,1
7,0.722377,0.370439,0.318067,1.150523,0.184561,0.148679,0
8,0.661847,0.414001,0.358697,1.102330,0.230074,0.187997,1
9,0.620775,0.444576,0.387431,1.079644,0.246937,0.202785,1
10,0.560753,0.492977,0.430703,1.089171,0.265393,0.217919,1
11,0.537798,0.508271,0.446004,1.067336,0.294662,0.245949,1
12,0.515675,0.525213,0.462861,1.083648,0.308078,0.257740,1
13,0.499408,0.539128,0.476889,1.093959,0.282679,0.231228,0
14,0.483926,0.553565,0.491141,1.049972,0.316616,0.265041,1
15,0.474819,0.567540,0.504481,1.010268,0.349859,0.291871,1
16,0.458014,0.583877,0.521419,1.042467,0.331768,0.275337,0
17,0.455962,0.580188,0.518325,1.095526,0.297993,0.244366,0
18,0.443897,0.596112,0.533277,1.088659,0.309603,0.257748,0
19,0.434146,0.609118,0.546129,1.066006,0.333391,0.277485,0
20,0.422387,0.585849,0.523322,1.098093,0.311840,0.257349,0
21,0.408506,0.603543,0.540510,1.125730,0.273172,0.224454,0
22,0.386325,0.615088,0.551226,1.147103,0.272275,0.225594,0
23,0.368083,0.628379,0.563503,1.053483,0.335322,0.278740,0
24,0.381058,0.629708,0.564877,1.113811,0.315012,0.263652,0
25,0.357429,0.645347,0.580804,1.165324,0.302968,0.253407,0
26,0.356704,0.647890,0.582403,1.067600,0.367947,0.307070,1
27,0.350491,0.663186,0.598004,1.066720,0.329864,0.274918,0
28,0.339839,0.671681,0.605601,1.065217,0.336959,0.282130,0
29,0.332927,0.679458,0.613164,1.097451,0.331504,0.279226,0
30,0.334873,0.675740,0.609929,1.114559,0.280682,0.231110,0
