filename,stem,split,image_path,mask_path,original_width,original_height,foreground_ratio,bbox_available,bbox_count
cju0qoxqj9q6s0835b43399p4.jpg,cju0qoxqj9q6s0835b43399p4,test,/Users/brian/Desktop/VCL318/Swin-ViT/ViTUnet vs SwinUnet/Dataset/processed/Kvasir-SEG/images/cju0qoxqj9q6s0835b43399p4.jpg,/Users/brian/Desktop/VCL318/Swin-ViT/ViTUnet vs SwinUnet/Dataset/processed/Kvasir-SEG/masks/cju0qoxqj9q6s0835b43399p4.png,1348,1070,0.270595,True,1
cju0tl3uz8blh0993wxvn7ly3.jpg,cju0tl3uz8blh0993wxvn7ly3,test,/Users/brian/Desktop/VCL318/Swin-ViT/ViTUnet vs SwinUnet/Dataset/processed/Kvasir-SEG/images/cju0tl3uz8blh0993wxvn7ly3.jpg,/Users/brian/Desktop/VCL318/Swin-ViT/ViTUnet vs SwinUnet/Dataset/processed/Kvasir-SEG/masks/cju0tl3uz8blh0993wxvn7ly3.png,622,529,0.005273,True,1
cju13cgqmnhwn0988yrainhcp.jpg,cju13cgqmnhwn0988yrainhcp,test,/Users/brian/Desktop/VCL318/Swin-ViT/ViTUnet vs SwinUnet/Dataset/processed/Kvasir-SEG/images/cju13cgqmnhwn0988yrainhcp.jpg,/Users/brian/Desktop/VCL318/Swin-ViT/ViTUnet vs SwinUnet/Dataset/processed/Kvasir-SEG/masks/cju13cgqmnhwn0988yrainhcp.png,626,546,0.124279,True,1
cju171py4qiha0835u8sl59ds.jpg,cju171py4qiha0835u8sl59ds,test,/Users/brian/Desktop/VCL318/Swin-ViT/ViTUnet vs SwinUnet/Dataset/processed/Kvasir-SEG/images/cju171py4qiha0835u8sl59ds.jpg,/Users/brian/Desktop/VCL318/Swin-ViT/ViTUnet vs SwinUnet/Dataset/processed/Kvasir-SEG/masks/cju171py4qiha0835u8sl59ds.png,616,530,0.366372,True,1
cju17v6ih0u7808783zcbg1jy.jpg,cju17v6ih0u7808783zcbg1jy,test,/Users/brian/Desktop/VCL318/Swin-ViT/ViTUnet vs SwinUnet/Dataset/processed/Kvasir-SEG/images/cju17v6ih0u7808783zcbg1jy.jpg,/Users/brian/Desktop/VCL318/Swin-ViT/ViTUnet vs SwinUnet/Dataset/processed/Kvasir-SEG/masks/cju17v6ih0u7808783zcbg1jy.png,622,528,0.350829,True,1
cju17x0j4nfc10993y31pvlgs.jpg,cju17x0j4nfc10993y31pvlgs,test,/Users/brian/Desktop/VCL318/Swin-ViT/ViTUnet vs SwinUnet/Dataset/processed/Kvasir-SEG/images/cju17x0j4nfc10993y31pvlgs.jpg,/Users/brian/Desktop/VCL318/Swin-ViT/ViTUnet vs SwinUnet/Dataset/processed/Kvasir-SEG/masks/cju17x0j4nfc10993y31pvlgs.png,459,526,0.702565,True,1
cju18ibp219ub08783i6o98g7.jpg,cju18ibp219ub08783i6o98g7,test,/Users/brian/Desktop/VCL318/Swin-ViT/ViTUnet vs SwinUnet/Dataset/processed/Kvasir-SEG/images/cju18ibp219ub08783i6o98g7.jpg,/Users/brian/Desktop/VCL318/Swin-ViT/ViTUnet vs SwinUnet/Dataset/processed/Kvasir-SEG/masks/cju18ibp219ub08783i6o98g7.png,615,528,0.018527,True,1
cju1b75x63ddl0799sdp0i2j3.jpg,cju1b75x63ddl0799sdp0i2j3,test,/Users/brian/Desktop/VCL318/Swin-ViT/ViTUnet vs SwinUnet/Dataset/processed/Kvasir-SEG/images/cju1b75x63ddl0799sdp0i2j3.jpg,/Users/brian/Desktop/VCL318/Swin-ViT/ViTUnet vs SwinUnet/Dataset/processed/Kvasir-SEG/masks/cju1b75x63ddl0799sdp0i2j3.png,549,530,0.06722,True,1
cju1c4fcu40hl07992b8gj0c8.jpg,cju1c4fcu40hl07992b8gj0c8,test,/Users/brian/Desktop/VCL318/Swin-ViT/ViTUnet vs SwinUnet/Dataset/processed/Kvasir-SEG/images/cju1c4fcu40hl07992b8gj0c8.jpg,/Users/brian/Desktop/VCL318/Swin-ViT/ViTUnet vs SwinUnet/Dataset/processed/Kvasir-SEG/masks/cju1c4fcu40hl07992b8gj0c8.png,626,546,0.054392,True,1
cju1cj3f0qi5n0993ut8f49rj.jpg,cju1cj3f0qi5n0993ut8f49rj,test,/Users/brian/Desktop/VCL318/Swin-ViT/ViTUnet vs SwinUnet/Dataset/processed/Kvasir-SEG/images/cju1cj3f0qi5n0993ut8f49rj.jpg,/Users/brian/Desktop/VCL318/Swin-ViT/ViTUnet vs SwinUnet/Dataset/processed/Kvasir-SEG/masks/cju1cj3f0qi5n0993ut8f49rj.png,616,530,0.234691,True,1
cju1d31sp4d4k0878r3fr02ul.jpg,cju1d31sp4d4k0878r3fr02ul,test,/Users/brian/Desktop/VCL318/Swin-ViT/ViTUnet vs SwinUnet/Dataset/processed/Kvasir-SEG/images/cju1d31sp4d4k0878r3fr02ul.jpg,/Users/brian/Desktop/VCL318/Swin-ViT/ViTUnet vs SwinUnet/Dataset/processed/Kvasir-SEG/masks/cju1d31sp4d4k0878r3fr02ul.png,622,529,0.082191,True,1
cju1fb9236a110801yvg0fwju.jpg,cju1fb9236a110801yvg0fwju,test,/Users/brian/Desktop/VCL318/Swin-ViT/ViTUnet vs SwinUnet/Dataset/processed/Kvasir-SEG/images/cju1fb9236a110801yvg0fwju.jpg,/Users/brian/Desktop/VCL318/Swin-ViT/ViTUnet vs SwinUnet/Dataset/processed/Kvasir-SEG/masks/cju1fb9236a110801yvg0fwju.png,626,547,0.316601,True,1
cju1g4nsb6ngy0799l4ezm8ab.jpg,cju1g4nsb6ngy0799l4ezm8ab,test,/Users/brian/Desktop/VCL318/Swin-ViT/ViTUnet vs SwinUnet/Dataset/processed/Kvasir-SEG/images/cju1g4nsb6ngy0799l4ezm8ab.jpg,/Users/brian/Desktop/VCL318/Swin-ViT/ViTUnet vs SwinUnet/Dataset/processed/Kvasir-SEG/masks/cju1g4nsb6ngy0799l4ezm8ab.png,568,529,0.103464,True,1
cju1gv7106qd008784gk603mg.jpg,cju1gv7106qd008784gk603mg,test,/Users/brian/Desktop/VCL318/Swin-ViT/ViTUnet vs SwinUnet/Dataset/processed/Kvasir-SEG/images/cju1gv7106qd008784gk603mg.jpg,/Users/brian/Desktop/VCL318/Swin-ViT/ViTUnet vs SwinUnet/Dataset/processed/Kvasir-SEG/masks/cju1gv7106qd008784gk603mg.png,622,531,0.149672,True,1
cju2hw5gjlr5h0988so2qqres.jpg,cju2hw5gjlr5h0988so2qqres,test,/Users/brian/Desktop/VCL318/Swin-ViT/ViTUnet vs SwinUnet/Dataset/processed/Kvasir-SEG/images/cju2hw5gjlr5h0988so2qqres.jpg,/Users/brian/Desktop/VCL318/Swin-ViT/ViTUnet vs SwinUnet/Dataset/processed/Kvasir-SEG/masks/cju2hw5gjlr5h0988so2qqres.png,621,530,0.19547,True,1
cju2i6acqvo6l0799u20fift8.jpg,cju2i6acqvo6l0799u20fift8,test,/Users/brian/Desktop/VCL318/Swin-ViT/ViTUnet vs SwinUnet/Dataset/processed/Kvasir-SEG/images/cju2i6acqvo6l0799u20fift8.jpg,/Users/brian/Desktop/VCL318/Swin-ViT/ViTUnet vs SwinUnet/Dataset/processed/Kvasir-SEG/masks/cju2i6acqvo6l0799u20fift8.png,623,546,0.138421,True,1
cju2okvco06xc0799kxe5n1qh.jpg,cju2okvco06xc0799kxe5n1qh,test,/Users/brian/Desktop/VCL318/Swin-ViT/ViTUnet vs SwinUnet/Dataset/processed/Kvasir-SEG/images/cju2okvco06xc0799kxe5n1qh.jpg,/Users/brian/Desktop/VCL318/Swin-ViT/ViTUnet vs SwinUnet/Dataset/processed/Kvasir-SEG/masks/cju2okvco06xc0799kxe5n1qh.png,577,530,0.33168,True,1
cju2pag1f0s4r0878h52uq83s.jpg,cju2pag1f0s4r0878h52uq83s,test,/Users/brian/Desktop/VCL318/Swin-ViT/ViTUnet vs SwinUnet/Dataset/processed/Kvasir-SEG/images/cju2pag1f0s4r0878h52uq83s.jpg,/Users/brian/Desktop/VCL318/Swin-ViT/ViTUnet vs SwinUnet/Dataset/processed/Kvasir-SEG/masks/cju2pag1f0s4r0878h52uq83s.png,570,530,0.053853,True,1
cju2qdj95ru8g09886gfi9rsz.jpg,cju2qdj95ru8g09886gfi9rsz,test,/Users/brian/Desktop/VCL318/Swin-ViT/ViTUnet vs SwinUnet/Dataset/processed/Kvasir-SEG/images/cju2qdj95ru8g09886gfi9rsz.jpg,/Users/brian/Desktop/VCL318/Swin-ViT/ViTUnet vs SwinUnet/Dataset/processed/Kvasir-SEG/masks/cju2qdj95ru8g09886gfi9rsz.png,571,531,0.428102,True,1
cju2r2obh2bjm08553kng0rh7.jpg,cju2r2obh2bjm08553kng0rh7,test,/Users/brian/Desktop/VCL318/Swin-ViT/ViTUnet vs SwinUnet/Dataset/processed/Kvasir-SEG/images/cju2r2obh2bjm08553kng0rh7.jpg,/Users/brian/Desktop/VCL318/Swin-ViT/ViTUnet vs SwinUnet/Dataset/processed/Kvasir-SEG/masks/cju2r2obh2bjm08553kng0rh7.png,474,458,0.202642,True,1
cju2rzpsmtb0f0835jabkbao1.jpg,cju2rzpsmtb0f0835jabkbao1,test,/Users/brian/Desktop/VCL318/Swin-ViT/ViTUnet vs SwinUnet/Dataset/processed/Kvasir-SEG/images/cju2rzpsmtb0f0835jabkbao1.jpg,/Users/brian/Desktop/VCL318/Swin-ViT/ViTUnet vs SwinUnet/Dataset/processed/Kvasir-SEG/masks/cju2rzpsmtb0f0835jabkbao1.png,528,528,0.030418,True,1
cju2ycp1u8g2r0799jslnp7cz.jpg,cju2ycp1u8g2r0799jslnp7cz,test,/Users/brian/Desktop/VCL318/Swin-ViT/ViTUnet vs SwinUnet/Dataset/processed/Kvasir-SEG/images/cju2ycp1u8g2r0799jslnp7cz.jpg,/Users/brian/Desktop/VCL318/Swin-ViT/ViTUnet vs SwinUnet/Dataset/processed/Kvasir-SEG/masks/cju2ycp1u8g2r0799jslnp7cz.png,617,531,0.101973,True,1
cju2yljr0yzhw0988ecf271ly.jpg,cju2yljr0yzhw0988ecf271ly,test,/Users/brian/Desktop/VCL318/Swin-ViT/ViTUnet vs SwinUnet/Dataset/processed/Kvasir-SEG/images/cju2yljr0yzhw0988ecf271ly.jpg,/Users/brian/Desktop/VCL318/Swin-ViT/ViTUnet vs SwinUnet/Dataset/processed/Kvasir-SEG/masks/cju2yljr0yzhw0988ecf271ly.png,1220,1009,0.226377,True,1
cju2zblxw9848087853csbrx1.jpg,cju2zblxw9848087853csbrx1,test,/Users/brian/Desktop/VCL318/Swin-ViT/ViTUnet vs SwinUnet/Dataset/processed/Kvasir-SEG/images/cju2zblxw9848087853csbrx1.jpg,/Users/brian/Desktop/VCL318/Swin-ViT/ViTUnet vs SwinUnet/Dataset/processed/Kvasir-SEG/masks/cju2zblxw9848087853csbrx1.png,586,530,0.092504,True,1
cju2zdhsczmn50988z64qwg2q.jpg,cju2zdhsczmn50988z64qwg2q,test,/Users/brian/Desktop/VCL318/Swin-ViT/ViTUnet vs SwinUnet/Dataset/processed/Kvasir-SEG/images/cju2zdhsczmn50988z64qwg2q.jpg,/Users/brian/Desktop/VCL318/Swin-ViT/ViTUnet vs SwinUnet/Dataset/processed/Kvasir-SEG/masks/cju2zdhsczmn50988z64qwg2q.png,598,530,0.139676,True,2
cju2zi4l09f5807991s8do2b2.jpg,cju2zi4l09f5807991s8do2b2,test,/Users/brian/Desktop/VCL318/Swin-ViT/ViTUnet vs SwinUnet/Dataset/processed/Kvasir-SEG/images/cju2zi4l09f5807991s8do2b2.jpg,/Users/brian/Desktop/VCL318/Swin-ViT/ViTUnet vs SwinUnet/Dataset/processed/Kvasir-SEG/masks/cju2zi4l09f5807991s8do2b2.png,622,530,0.101611,True,1
cju2zpw4q9vzr0801p0lysjdl.jpg,cju2zpw4q9vzr0801p0lysjdl,test,/Users/brian/Desktop/VCL318/Swin-ViT/ViTUnet vs SwinUnet/Dataset/processed/Kvasir-SEG/images/cju2zpw4q9vzr0801p0lysjdl.jpg,/Users/brian/Desktop/VCL318/Swin-ViT/ViTUnet vs SwinUnet/Dataset/processed/Kvasir-SEG/masks/cju2zpw4q9vzr0801p0lysjdl.png,605,546,0.031826,True,1
cju2zxja9w1eh09933609ho9z.jpg,cju2zxja9w1eh09933609ho9z,test,/Users/brian/Desktop/VCL318/Swin-ViT/ViTUnet vs SwinUnet/Dataset/processed/Kvasir-SEG/images/cju2zxja9w1eh09933609ho9z.jpg,/Users/brian/Desktop/VCL318/Swin-ViT/ViTUnet vs SwinUnet/Dataset/processed/Kvasir-SEG/masks/cju2zxja9w1eh09933609ho9z.png,584,530,0.037771,True,1
cju302fqq9spc0878rrygyzzz.jpg,cju302fqq9spc0878rrygyzzz,test,/Users/brian/Desktop/VCL318/Swin-ViT/ViTUnet vs SwinUnet/Dataset/processed/Kvasir-SEG/images/cju302fqq9spc0878rrygyzzz.jpg,/Users/brian/Desktop/VCL318/Swin-ViT/ViTUnet vs SwinUnet/Dataset/processed/Kvasir-SEG/masks/cju302fqq9spc0878rrygyzzz.png,592,528,0.221457,True,1
cju30j1rgadut0801vuyrsnt8.jpg,cju30j1rgadut0801vuyrsnt8,test,/Users/brian/Desktop/VCL318/Swin-ViT/ViTUnet vs SwinUnet/Dataset/processed/Kvasir-SEG/images/cju30j1rgadut0801vuyrsnt8.jpg,/Users/brian/Desktop/VCL318/Swin-ViT/ViTUnet vs SwinUnet/Dataset/processed/Kvasir-SEG/masks/cju30j1rgadut0801vuyrsnt8.png,570,530,0.024459,True,1
cju30k2z40ds308353kdew70n.jpg,cju30k2z40ds308353kdew70n,test,/Users/brian/Desktop/VCL318/Swin-ViT/ViTUnet vs SwinUnet/Dataset/processed/Kvasir-SEG/images/cju30k2z40ds308353kdew70n.jpg,/Users/brian/Desktop/VCL318/Swin-ViT/ViTUnet vs SwinUnet/Dataset/processed/Kvasir-SEG/masks/cju30k2z40ds308353kdew70n.png,618,528,0.087327,True,1
cju30nyxe0gfb0835p256yoju.jpg,cju30nyxe0gfb0835p256yoju,test,/Users/brian/Desktop/VCL318/Swin-ViT/ViTUnet vs SwinUnet/Dataset/processed/Kvasir-SEG/images/cju30nyxe0gfb0835p256yoju.jpg,/Users/brian/Desktop/VCL318/Swin-ViT/ViTUnet vs SwinUnet/Dataset/processed/Kvasir-SEG/masks/cju30nyxe0gfb0835p256yoju.png,622,530,0.508712,True,1
cju326h4v1gxw08352px40p7r.jpg,cju326h4v1gxw08352px40p7r,test,/Users/brian/Desktop/VCL318/Swin-ViT/ViTUnet vs SwinUnet/Dataset/processed/Kvasir-SEG/images/cju326h4v1gxw08352px40p7r.jpg,/Users/brian/Desktop/VCL318/Swin-ViT/ViTUnet vs SwinUnet/Dataset/processed/Kvasir-SEG/masks/cju326h4v1gxw08352px40p7r.png,616,528,0.385823,True,1
cju34fojcctcf0799ebolbvkn.jpg,cju34fojcctcf0799ebolbvkn,test,/Users/brian/Desktop/VCL318/Swin-ViT/ViTUnet vs SwinUnet/Dataset/processed/Kvasir-SEG/images/cju34fojcctcf0799ebolbvkn.jpg,/Users/brian/Desktop/VCL318/Swin-ViT/ViTUnet vs SwinUnet/Dataset/processed/Kvasir-SEG/masks/cju34fojcctcf0799ebolbvkn.png,626,547,0.027603,True,1
cju34sh43d8zm08019xbwhc0o.jpg,cju34sh43d8zm08019xbwhc0o,test,/Users/brian/Desktop/VCL318/Swin-ViT/ViTUnet vs SwinUnet/Dataset/processed/Kvasir-SEG/images/cju34sh43d8zm08019xbwhc0o.jpg,/Users/brian/Desktop/VCL318/Swin-ViT/ViTUnet vs SwinUnet/Dataset/processed/Kvasir-SEG/masks/cju34sh43d8zm08019xbwhc0o.png,620,530,0.117212,True,1
cju3v3ac9gyz30755hfqwyp1i.jpg,cju3v3ac9gyz30755hfqwyp1i,test,/Users/brian/Desktop/VCL318/Swin-ViT/ViTUnet vs SwinUnet/Dataset/processed/Kvasir-SEG/images/cju3v3ac9gyz30755hfqwyp1i.jpg,/Users/brian/Desktop/VCL318/Swin-ViT/ViTUnet vs SwinUnet/Dataset/processed/Kvasir-SEG/masks/cju3v3ac9gyz30755hfqwyp1i.png,578,530,0.073461,True,1
cju3y21quj0ir0818kgjagr15.jpg,cju3y21quj0ir0818kgjagr15,test,/Users/brian/Desktop/VCL318/Swin-ViT/ViTUnet vs SwinUnet/Dataset/processed/Kvasir-SEG/images/cju3y21quj0ir0818kgjagr15.jpg,/Users/brian/Desktop/VCL318/Swin-ViT/ViTUnet vs SwinUnet/Dataset/processed/Kvasir-SEG/masks/cju3y21quj0ir0818kgjagr15.png,626,546,0.261896,True,1
