stem,iou_vit,dice_vit,ap_vit,iou_swin,dice_swin,ap_swin,diff_iou,diff_dice,diff_ap
cju0qoxqj9q6s0835b43399p4,0.742028,0.851913,0.982616,0.9209,0.958821,0.99173,0.17887200000000003,0.106908,0.009113999999999955
cju0tl3uz8blh0993wxvn7ly3,0.058966,0.111366,0.047102,0.043134,0.082701,0.073133,-0.015832,-0.02866500000000001,0.026031000000000006
cju13cgqmnhwn0988yrainhcp,0.938294,0.968165,0.998226,0.927016,0.962126,0.997903,-0.01127800000000001,-0.006039000000000017,-0.0003229999999999622
cju171py4qiha0835u8sl59ds,0.928185,0.962755,0.995295,0.902184,0.948577,0.988627,-0.026001000000000052,-0.014178000000000024,-0.006668000000000007
cju17v6ih0u7808783zcbg1jy,0.962718,0.981005,0.998701,0.965317,0.982353,0.999221,0.002599000000000018,0.0013480000000000159,0.000520000000000076
cju17x0j4nfc10993y31pvlgs,0.832358,0.90851,0.996198,0.331159,0.49755,0.948914,-0.5011990000000001,-0.41096000000000005,-0.04728399999999999
cju18ibp219ub08783i6o98g7,0.7926,0.884302,0.944571,0.857834,0.923477,0.97717,0.06523400000000001,0.03917499999999996,0.032598999999999934
cju1b75x63ddl0799sdp0i2j3,0.862166,0.925982,0.967774,0.89657,0.945465,0.995201,0.03440399999999999,0.019483000000000028,0.02742699999999998
cju1c4fcu40hl07992b8gj0c8,0.893275,0.94363,0.991817,0.945576,0.972027,0.997822,0.05230099999999993,0.028397000000000006,0.006005000000000038
cju1cj3f0qi5n0993ut8f49rj,0.935963,0.966922,0.996494,0.946503,0.972516,0.994839,0.010539999999999994,0.005594000000000099,-0.001654999999999962
cju1d31sp4d4k0878r3fr02ul,0.947184,0.972876,0.996687,0.958065,0.978584,0.992103,0.01088100000000003,0.005708000000000046,-0.0045840000000000325
cju1fb9236a110801yvg0fwju,0.921317,0.959048,0.994932,0.771724,0.871156,0.948925,-0.1495930000000001,-0.08789199999999997,-0.04600700000000002
cju1g4nsb6ngy0799l4ezm8ab,0.947133,0.972849,0.998151,0.966296,0.982859,0.99923,0.01916300000000004,0.010010000000000074,0.0010789999999999411
