stem,iou_vit,dice_vit,ap_vit,iou_swin,dice_swin,ap_swin,diff_iou,diff_dice,diff_ap,winner
cju7d8m3b2e210755l8fj1yph,0.777402,0.874762,0.951069,0.107528,0.194176,0.386656,-0.6698740000000001,-0.680586,-0.564413,ViT
cju17x0j4nfc10993y31pvlgs,0.832358,0.90851,0.996198,0.331159,0.49755,0.948914,-0.5011990000000001,-0.41096000000000005,-0.04728399999999999,ViT
cju5cu8qkb84x08186jwo8yin,0.869761,0.930345,0.988748,0.42952,0.600929,0.558947,-0.440241,-0.32941599999999993,-0.429801,ViT
cju8bj2ssrmlm0871gc2ug2rs,0.588808,0.741194,0.964859,0.39222,0.563446,0.915924,-0.19658799999999998,-0.17774800000000002,-0.04893500000000006,ViT
cju414lf2l1lt0801rl3hjllj,0.63702,0.778268,0.89453,0.434867,0.606142,0.774178,-0.20215300000000003,-0.172126,-0.12035200000000001,ViT
cju7dqcwi2dz00850gcmr2ert,0.896099,0.945203,0.992512,0.700438,0.823833,0.943809,-0.19566099999999997,-0.12136999999999998,-0.04870299999999994,ViT
cju302fqq9spc0878rrygyzzz,0.762014,0.864935,0.987022,0.631798,0.774358,0.95906,-0.130216,-0.09057700000000002,-0.02796199999999993,ViT
cju1fb9236a110801yvg0fwju,0.921317,0.959048,0.994932,0.771724,0.871156,0.948925,-0.1495930000000001,-0.08789199999999997,-0.04600700000000002,ViT
cju8at3s1qqqx0850hcq8nmnq,0.870875,0.930982,0.988328,0.73015,0.844031,0.841025,-0.140725,-0.086951,-0.14730299999999996,ViT
cju5bhv81abur0850ean02atv,0.898208,0.946375,0.994347,0.759933,0.863593,0.988523,-0.13827500000000004,-0.08278199999999991,-0.00582399999999994,ViT
cju5i39mreass0817au8p22zy,0.475163,0.644217,0.953254,0.401817,0.57328,0.829623,-0.07334600000000002,-0.07093700000000003,-0.12363100000000005,ViT
cju30j1rgadut0801vuyrsnt8,0.836248,0.910823,0.94696,0.747112,0.855254,0.985284,-0.08913599999999999,-0.05556900000000009,0.038324000000000025,ViT
cju5klveuff6w0871wbibgh3m,0.923771,0.960375,0.994864,0.839024,0.912467,0.979708,-0.08474700000000002,-0.04790799999999995,-0.015155999999999947,ViT
cju326h4v1gxw08352px40p7r,0.941635,0.96994,0.994168,0.862252,0.926031,0.975803,-0.07938299999999998,-0.043908999999999976,-0.018365000000000076,ViT
cju30k2z40ds308353kdew70n,0.941176,0.969697,0.997896,0.874071,0.932805,0.993945,-0.06710499999999997,-0.036892000000000036,-0.003951000000000038,ViT
cju8bw697rwg308177tg8huas,0.634736,0.776561,0.953103,0.896372,0.945354,0.990545,0.261636,0.16879300000000008,0.037441999999999975,Swin
cju3y21quj0ir0818kgjagr15,0.646413,0.785238,0.946544,0.888672,0.941055,0.988898,0.242259,0.15581699999999998,0.042354,Swin
cju0qoxqj9q6s0835b43399p4,0.742028,0.851913,0.982616,0.9209,0.958821,0.99173,0.17887200000000003,0.106908,0.009113999999999955,Swin
cju6wn57mvooj0850rp78hhy7,0.753324,0.859309,0.946501,0.917188,0.956805,0.992053,0.163864,0.09749600000000003,0.045551999999999926,Swin
cju7dn24o296i09871qfxb8s2,0.634964,0.776731,0.651669,0.751124,0.857876,0.945306,0.11616000000000004,0.08114500000000002,0.2936369999999999,Swin
cju5hyi9yegob0755ho3do8en,0.822019,0.902316,0.878331,0.921047,0.958901,0.995489,0.0990279999999999,0.056584999999999996,0.11715799999999998,Swin
cju6w733bveoz0817e600tw72,0.778564,0.875497,0.937553,0.870176,0.930582,0.937834,0.09161199999999992,0.05508500000000005,0.0002809999999999757,Swin
cju85c2d4ln1b0755zz1z3onx,0.33003,0.496274,0.859898,0.37402,0.544417,0.90229,0.04399000000000003,0.04814300000000005,0.042391999999999985,Swin
cju2zpw4q9vzr0801p0lysjdl,0.858889,0.924088,0.988319,0.940469,0.969321,0.997064,0.08157999999999999,0.04523299999999997,0.008745000000000003,Swin
cju45ofd9ne1j0801ri8dup7t,0.721225,0.838037,0.962455,0.785204,0.87968,0.96004,0.06397900000000001,0.041642999999999986,-0.002414999999999945,Swin
cju18ibp219ub08783i6o98g7,0.7926,0.884302,0.944571,0.857834,0.923477,0.97717,0.06523400000000001,0.03917499999999996,0.032598999999999934,Swin
cju5bj926aiec07559rshy4wa,0.861213,0.925432,0.971751,0.931368,0.964464,0.994514,0.07015499999999997,0.039031999999999956,0.022762999999999978,Swin
cju5y4hgqmk0i08180rjhbwvp,0.84399,0.915396,0.98735,0.911496,0.953699,0.995828,0.06750599999999995,0.038302999999999976,0.008478000000000097,Swin
cju1gv7106qd008784gk603mg,0.882537,0.937604,0.969597,0.94943,0.974059,0.997674,0.06689299999999998,0.036455000000000015,0.028076999999999908,Swin
cju6xa0qmvzun0818xjukgncj,0.900603,0.947702,0.991847,0.955403,0.977193,0.998301,0.05479999999999996,0.029490999999999934,0.00645399999999996,Swin
