stem,image_path,iou,dice,ap
cju0qkwl35piu0993l0dewei2,/Users/brian/Desktop/VCL318/Swin-ViT/ViTUnet vs SwinUnet/Dataset/processed/Kvasir-SEG/images/cju0qkwl35piu0993l0dewei2.jpg,0.97352,0.986582,0.999432
cju0qoxqj9q6s0835b43399p4,/Users/brian/Desktop/VCL318/Swin-ViT/ViTUnet vs SwinUnet/Dataset/processed/Kvasir-SEG/images/cju0qoxqj9q6s0835b43399p4.jpg,0.9209,0.958821,0.99173
cju0qx73cjw570799j4n5cjze,/Users/brian/Desktop/VCL318/Swin-ViT/ViTUnet vs SwinUnet/Dataset/processed/Kvasir-SEG/images/cju0qx73cjw570799j4n5cjze.jpg,0.969465,0.984496,0.999289
cju0roawvklrq0799vmjorwfv,/Users/brian/Desktop/VCL318/Swin-ViT/ViTUnet vs SwinUnet/Dataset/processed/Kvasir-SEG/images/cju0roawvklrq0799vmjorwfv.jpg,0.947424,0.973002,0.998213
cju0rx1idathl0835detmsp84,/Users/brian/Desktop/VCL318/Swin-ViT/ViTUnet vs SwinUnet/Dataset/processed/Kvasir-SEG/images/cju0rx1idathl0835detmsp84.jpg,0.943053,0.970692,0.994745
cju0s2a9ekvms080138tjjpxr,/Users/brian/Desktop/VCL318/Swin-ViT/ViTUnet vs SwinUnet/Dataset/processed/Kvasir-SEG/images/cju0s2a9ekvms080138tjjpxr.jpg,0.83285,0.908803,0.992824
cju0s690hkp960855tjuaqvv0,/Users/brian/Desktop/VCL318/Swin-ViT/ViTUnet vs SwinUnet/Dataset/processed/Kvasir-SEG/images/cju0s690hkp960855tjuaqvv0.jpg,0.942149,0.970213,0.998201
cju0sr5ghl0nd08789uzf1raf,/Users/brian/Desktop/VCL318/Swin-ViT/ViTUnet vs SwinUnet/Dataset/processed/Kvasir-SEG/images/cju0sr5ghl0nd08789uzf1raf.jpg,0.955461,0.977224,0.998438
cju0sxqiclckk08551ycbwhno,/Users/brian/Desktop/VCL318/Swin-ViT/ViTUnet vs SwinUnet/Dataset/processed/Kvasir-SEG/images/cju0sxqiclckk08551ycbwhno.jpg,0.96147,0.980357,0.999116
cju0t4oil7vzk099370nun5h9,/Users/brian/Desktop/VCL318/Swin-ViT/ViTUnet vs SwinUnet/Dataset/processed/Kvasir-SEG/images/cju0t4oil7vzk099370nun5h9.jpg,0.972841,0.986233,0.998764
