epoch,lr,train_loss,val_loss,val_iou,val_dice,val_ap,epoch_time_sec
1,0.00009973,0.548513,0.478815,0.672727,0.776905,0.918013,17.498
2,0.00009891,0.472111,0.460414,0.727805,0.817839,0.925990,16.843
3,0.00009755,0.432467,0.434956,0.751738,0.834342,0.937048,17.063
4,0.00009568,0.404163,0.424098,0.769730,0.847679,0.935889,16.796
5,0.00009330,0.382643,0.437801,0.739169,0.817485,0.922612,16.672
6,0.00009045,0.360277,0.397762,0.763417,0.839808,0.929746,16.315
7,0.00008716,0.345644,0.382112,0.755652,0.830429,0.915946,17.380
8,0.00008346,0.325946,0.369102,0.780186,0.855025,0.939421,17.872
9,0.00007939,0.304007,0.368621,0.778259,0.849813,0.938030,24.965
10,0.00007500,0.286333,0.349258,0.784597,0.855345,0.935793,26.306
11,0.00007034,0.270794,0.337049,0.782873,0.852996,0.929590,26.223
12,0.00006545,0.257803,0.319598,0.778211,0.848157,0.928283,25.913
13,0.00006040,0.244795,0.310596,0.785179,0.854985,0.929821,24.920
14,0.00005523,0.232032,0.289438,0.783638,0.854905,0.922821,24.186
15,0.00005000,0.221226,0.288700,0.779593,0.851166,0.934157,23.755
16,0.00004477,0.212563,0.309660,0.780586,0.853016,0.925942,23.920
17,0.00003960,0.201828,0.266405,0.794853,0.863300,0.928164,23.925
18,0.00003455,0.195545,0.272463,0.791915,0.862614,0.927639,24.343
19,0.00002966,0.188679,0.265278,0.797543,0.866521,0.929123,23.908
20,0.00002500,0.181748,0.247249,0.794818,0.863418,0.921037,24.161
21,0.00002061,0.177524,0.273338,0.795741,0.864448,0.925259,24.618
22,0.00001654,0.172464,0.261662,0.791445,0.860660,0.920382,24.564
23,0.00001284,0.169506,0.257889,0.799449,0.866106,0.921594,24.656
24,0.00000955,0.167141,0.249025,0.797536,0.864075,0.917374,24.543
25,0.00000670,0.164971,0.253516,0.799604,0.866065,0.920083,25.070
26,0.00000432,0.164038,0.268592,0.798253,0.865310,0.922551,24.651
27,0.00000245,0.162754,0.264998,0.801670,0.867382,0.922250,24.531
28,0.00000109,0.162881,0.255456,0.799853,0.866118,0.920940,25.214
29,0.00000027,0.161481,0.260616,0.800162,0.866345,0.922388,25.404
30,0.00000000,0.161508,0.256675,0.800264,0.866396,0.921551,24.942
