stem,image_path,iou,dice,ap
cju0qkwl35piu0993l0dewei2,/Users/brian/Desktop/VCL318/Swin-ViT/ViTUnet vs SwinUnet/Dataset/processed/Kvasir-SEG/images/cju0qkwl35piu0993l0dewei2.jpg,0.949146,0.973909,0.997763
cju0qoxqj9q6s0835b43399p4,/Users/brian/Desktop/VCL318/Swin-ViT/ViTUnet vs SwinUnet/Dataset/processed/Kvasir-SEG/images/cju0qoxqj9q6s0835b43399p4.jpg,0.742028,0.851913,0.982616
cju0qx73cjw570799j4n5cjze,/Users/brian/Desktop/VCL318/Swin-ViT/ViTUnet vs SwinUnet/Dataset/processed/Kvasir-SEG/images/cju0qx73cjw570799j4n5cjze.jpg,0.944305,0.971355,0.997316
cju0roawvklrq0799vmjorwfv,/Users/brian/Desktop/VCL318/Swin-ViT/ViTUnet vs SwinUnet/Dataset/processed/Kvasir-SEG/images/cju0roawvklrq0799vmjorwfv.jpg,0.895497,0.944868,0.990197
cju0rx1idathl0835detmsp84,/Users/brian/Desktop/VCL318/Swin-ViT/ViTUnet vs SwinUnet/Dataset/processed/Kvasir-SEG/images/cju0rx1idathl0835detmsp84.jpg,0.903141,0.949106,0.977431
cju0s2a9ekvms080138tjjpxr,/Users/brian/Desktop/VCL318/Swin-ViT/ViTUnet vs SwinUnet/Dataset/processed/Kvasir-SEG/images/cju0s2a9ekvms080138tjjpxr.jpg,0.953465,0.976178,0.999002
cju0s690hkp960855tjuaqvv0,/Users/brian/Desktop/VCL318/Swin-ViT/ViTUnet vs SwinUnet/Dataset/processed/Kvasir-SEG/images/cju0s690hkp960855tjuaqvv0.jpg,0.92163,0.959217,0.994018
cju0sr5ghl0nd08789uzf1raf,/Users/brian/Desktop/VCL318/Swin-ViT/ViTUnet vs SwinUnet/Dataset/processed/Kvasir-SEG/images/cju0sr5ghl0nd08789uzf1raf.jpg,0.910554,0.953183,0.993924
cju0sxqiclckk08551ycbwhno,/Users/brian/Desktop/VCL318/Swin-ViT/ViTUnet vs SwinUnet/Dataset/processed/Kvasir-SEG/images/cju0sxqiclckk08551ycbwhno.jpg,0.934239,0.966002,0.997313
cju0t4oil7vzk099370nun5h9,/Users/brian/Desktop/VCL318/Swin-ViT/ViTUnet vs SwinUnet/Dataset/processed/Kvasir-SEG/images/cju0t4oil7vzk099370nun5h9.jpg,0.96499,0.982183,0.998955
cju0tl3uz8blh0993wxvn7ly3,/Users/brian/Desktop/VCL318/Swin-ViT/ViTUnet vs SwinUnet/Dataset/processed/Kvasir-SEG/images/cju0tl3uz8blh0993wxvn7ly3.jpg,0.058966,0.111366,0.047102
cju0u2g7pmnux0801vkk47ivj,/Users/brian/Desktop/VCL318/Swin-ViT/ViTUnet vs SwinUnet/Dataset/processed/Kvasir-SEG/images/cju0u2g7pmnux0801vkk47ivj.jpg,0.971492,0.98554,0.999414
cju0u82z3cuma0835wlxrnrjv,/Users/brian/Desktop/VCL318/Swin-ViT/ViTUnet vs SwinUnet/Dataset/processed/Kvasir-SEG/images/cju0u82z3cuma0835wlxrnrjv.jpg,0.953723,0.976314,0.996956
cju0ue769mxii08019zqgdbxn,/Users/brian/Desktop/VCL318/Swin-ViT/ViTUnet vs SwinUnet/Dataset/processed/Kvasir-SEG/images/cju0ue769mxii08019zqgdbxn.jpg,0.891892,0.942857,0.979453
cju0vtox5ain6099360pu62rp,/Users/brian/Desktop/VCL318/Swin-ViT/ViTUnet vs SwinUnet/Dataset/processed/Kvasir-SEG/images/cju0vtox5ain6099360pu62rp.jpg,0.917774,0.957124,0.995865
cju13cgqmnhwn0988yrainhcp,/Users/brian/Desktop/VCL318/Swin-ViT/ViTUnet vs SwinUnet/Dataset/processed/Kvasir-SEG/images/cju13cgqmnhwn0988yrainhcp.jpg,0.938294,0.968165,0.998226
cju13fwthn9mq0835gacxgy01,/Users/brian/Desktop/VCL318/Swin-ViT/ViTUnet vs SwinUnet/Dataset/processed/Kvasir-SEG/images/cju13fwthn9mq0835gacxgy01.jpg,0.947691,0.973143,0.997439
cju13hp5rnbjx0835bf0jowgx,/Users/brian/Desktop/VCL318/Swin-ViT/ViTUnet vs SwinUnet/Dataset/processed/Kvasir-SEG/images/cju13hp5rnbjx0835bf0jowgx.jpg,0.955949,0.977478,0.998444
cju14g8o4xui30878gkgbrvqj,/Users/brian/Desktop/VCL318/Swin-ViT/ViTUnet vs SwinUnet/Dataset/processed/Kvasir-SEG/images/cju14g8o4xui30878gkgbrvqj.jpg,0.919883,0.95827,0.99588
cju14hjh2ob2o0835ouz3r5aa,/Users/brian/Desktop/VCL318/Swin-ViT/ViTUnet vs SwinUnet/Dataset/processed/Kvasir-SEG/images/cju14hjh2ob2o0835ouz3r5aa.jpg,0.938315,0.968176,0.997028
cju14pxbaoksp0835qzorx6g6,/Users/brian/Desktop/VCL318/Swin-ViT/ViTUnet vs SwinUnet/Dataset/processed/Kvasir-SEG/images/cju14pxbaoksp0835qzorx6g6.jpg,0.970165,0.984857,0.99945
cju15czxqp3lv0835jvhgzurz,/Users/brian/Desktop/VCL318/Swin-ViT/ViTUnet vs SwinUnet/Dataset/processed/Kvasir-SEG/images/cju15czxqp3lv0835jvhgzurz.jpg,0.942881,0.970601,0.997502
cju15jr8jz8sb0855ukmkswkz,/Users/brian/Desktop/VCL318/Swin-ViT/ViTUnet vs SwinUnet/Dataset/processed/Kvasir-SEG/images/cju15jr8jz8sb0855ukmkswkz.jpg,0.978635,0.989202,0.999754
cju15l5ubz9yh0855b3ivdpse,/Users/brian/Desktop/VCL318/Swin-ViT/ViTUnet vs SwinUnet/Dataset/processed/Kvasir-SEG/images/cju15l5ubz9yh0855b3ivdpse.jpg,0.929532,0.963479,0.9968
cju15mhjczc8z0801kit5c6di,/Users/brian/Desktop/VCL318/Swin-ViT/ViTUnet vs SwinUnet/Dataset/processed/Kvasir-SEG/images/cju15mhjczc8z0801kit5c6di.jpg,0.944738,0.971584,0.997039
cju15ptjtppz40988odsm9azx,/Users/brian/Desktop/VCL318/Swin-ViT/ViTUnet vs SwinUnet/Dataset/processed/Kvasir-SEG/images/cju15ptjtppz40988odsm9azx.jpg,0.905473,0.950392,0.990361
cju15wdt3zla10801odjiw7sy,/Users/brian/Desktop/VCL318/Swin-ViT/ViTUnet vs SwinUnet/Dataset/processed/Kvasir-SEG/images/cju15wdt3zla10801odjiw7sy.jpg,0.954314,0.976623,0.998214
cju160wshltz10993i1gmqxbe,/Users/brian/Desktop/VCL318/Swin-ViT/ViTUnet vs SwinUnet/Dataset/processed/Kvasir-SEG/images/cju160wshltz10993i1gmqxbe.jpg,0.924167,0.960589,0.995623
cju16ach3m1da0993r1dq3sn2,/Users/brian/Desktop/VCL318/Swin-ViT/ViTUnet vs SwinUnet/Dataset/processed/Kvasir-SEG/images/cju16ach3m1da0993r1dq3sn2.jpg,0.967212,0.983333,0.998969
cju16b6ynq8e40988m8vx0xnj,/Users/brian/Desktop/VCL318/Swin-ViT/ViTUnet vs SwinUnet/Dataset/processed/Kvasir-SEG/images/cju16b6ynq8e40988m8vx0xnj.jpg,0.907975,0.951768,0.992169
cju16d65tzw9d0799ouslsw25,/Users/brian/Desktop/VCL318/Swin-ViT/ViTUnet vs SwinUnet/Dataset/processed/Kvasir-SEG/images/cju16d65tzw9d0799ouslsw25.jpg,0.897397,0.945924,0.997945
cju16fpvhzypl0799p9phnlx6,/Users/brian/Desktop/VCL318/Swin-ViT/ViTUnet vs SwinUnet/Dataset/processed/Kvasir-SEG/images/cju16fpvhzypl0799p9phnlx6.jpg,0.935971,0.966927,0.997132
cju16jgnyzp970878melv7r25,/Users/brian/Desktop/VCL318/Swin-ViT/ViTUnet vs SwinUnet/Dataset/processed/Kvasir-SEG/images/cju16jgnyzp970878melv7r25.jpg,0.921792,0.959305,0.994696
cju16whaj0e7n0855q7b6cjkm,/Users/brian/Desktop/VCL318/Swin-ViT/ViTUnet vs SwinUnet/Dataset/processed/Kvasir-SEG/images/cju16whaj0e7n0855q7b6cjkm.jpg,0.900325,0.947548,0.986446
cju171py4qiha0835u8sl59ds,/Users/brian/Desktop/VCL318/Swin-ViT/ViTUnet vs SwinUnet/Dataset/processed/Kvasir-SEG/images/cju171py4qiha0835u8sl59ds.jpg,0.928185,0.962755,0.995295
cju175facms5f0993a5tjikvt,/Users/brian/Desktop/VCL318/Swin-ViT/ViTUnet vs SwinUnet/Dataset/processed/Kvasir-SEG/images/cju175facms5f0993a5tjikvt.jpg,0.94163,0.969938,0.997811
cju17bz250pgd0799u1hqkj5u,/Users/brian/Desktop/VCL318/Swin-ViT/ViTUnet vs SwinUnet/Dataset/processed/Kvasir-SEG/images/cju17bz250pgd0799u1hqkj5u.jpg,0.950404,0.974572,0.997952
cju17g6ykn1cs0993dww6qdi8,/Users/brian/Desktop/VCL318/Swin-ViT/ViTUnet vs SwinUnet/Dataset/processed/Kvasir-SEG/images/cju17g6ykn1cs0993dww6qdi8.jpg,0.926481,0.961838,0.993622
cju17hw9hr9c5098800fu4u8e,/Users/brian/Desktop/VCL318/Swin-ViT/ViTUnet vs SwinUnet/Dataset/processed/Kvasir-SEG/images/cju17hw9hr9c5098800fu4u8e.jpg,0.928181,0.962753,0.997933
cju17otoe119u0799nqcbl8n1,/Users/brian/Desktop/VCL318/Swin-ViT/ViTUnet vs SwinUnet/Dataset/processed/Kvasir-SEG/images/cju17otoe119u0799nqcbl8n1.jpg,0.899373,0.947021,0.994541
cju17r8il13910799dr2wme2e,/Users/brian/Desktop/VCL318/Swin-ViT/ViTUnet vs SwinUnet/Dataset/processed/Kvasir-SEG/images/cju17r8il13910799dr2wme2e.jpg,0.903904,0.949527,0.996309
cju17v6ih0u7808783zcbg1jy,/Users/brian/Desktop/VCL318/Swin-ViT/ViTUnet vs SwinUnet/Dataset/processed/Kvasir-SEG/images/cju17v6ih0u7808783zcbg1jy.jpg,0.962718,0.981005,0.998701
cju17x0j4nfc10993y31pvlgs,/Users/brian/Desktop/VCL318/Swin-ViT/ViTUnet vs SwinUnet/Dataset/processed/Kvasir-SEG/images/cju17x0j4nfc10993y31pvlgs.jpg,0.832358,0.90851,0.996198
cju17z0qongpa0993de4boim4,/Users/brian/Desktop/VCL318/Swin-ViT/ViTUnet vs SwinUnet/Dataset/processed/Kvasir-SEG/images/cju17z0qongpa0993de4boim4.jpg,0.909387,0.952544,0.991637
cju1819curo000988pd5xcqme,/Users/brian/Desktop/VCL318/Swin-ViT/ViTUnet vs SwinUnet/Dataset/processed/Kvasir-SEG/images/cju1819curo000988pd5xcqme.jpg,0.96187,0.980564,0.998302
cju183od81ff608017ekzif89,/Users/brian/Desktop/VCL318/Swin-ViT/ViTUnet vs SwinUnet/Dataset/processed/Kvasir-SEG/images/cju183od81ff608017ekzif89.jpg,0.939612,0.968866,0.996613
cju1871y11d6r0799k6cw4yze,/Users/brian/Desktop/VCL318/Swin-ViT/ViTUnet vs SwinUnet/Dataset/processed/Kvasir-SEG/images/cju1871y11d6r0799k6cw4yze.jpg,0.952405,0.975622,0.998253
cju18849rrsgr0988p90hkygb,/Users/brian/Desktop/VCL318/Swin-ViT/ViTUnet vs SwinUnet/Dataset/processed/Kvasir-SEG/images/cju18849rrsgr0988p90hkygb.jpg,0.960633,0.979921,0.999071
cju18gzrq18zw0878wbf4ftw6,/Users/brian/Desktop/VCL318/Swin-ViT/ViTUnet vs SwinUnet/Dataset/processed/Kvasir-SEG/images/cju18gzrq18zw0878wbf4ftw6.jpg,0.941757,0.970005,0.996556
cju18ibp219ub08783i6o98g7,/Users/brian/Desktop/VCL318/Swin-ViT/ViTUnet vs SwinUnet/Dataset/processed/Kvasir-SEG/images/cju18ibp219ub08783i6o98g7.jpg,0.7926,0.884302,0.944571
cju18kevfrojc0835bn90f1in,/Users/brian/Desktop/VCL318/Swin-ViT/ViTUnet vs SwinUnet/Dataset/processed/Kvasir-SEG/images/cju18kevfrojc0835bn90f1in.jpg,0.927176,0.962212,0.996115
cju1alwgo30z60855fm3y23sm,/Users/brian/Desktop/VCL318/Swin-ViT/ViTUnet vs SwinUnet/Dataset/processed/Kvasir-SEG/images/cju1alwgo30z60855fm3y23sm.jpg,0.949841,0.974275,0.99791
cju1amqw6p8pw0993d9gc5crl,/Users/brian/Desktop/VCL318/Swin-ViT/ViTUnet vs SwinUnet/Dataset/processed/Kvasir-SEG/images/cju1amqw6p8pw0993d9gc5crl.jpg,0.900225,0.947493,0.993127
cju1aqqv02qwz0878a5cyhr67,/Users/brian/Desktop/VCL318/Swin-ViT/ViTUnet vs SwinUnet/Dataset/processed/Kvasir-SEG/images/cju1aqqv02qwz0878a5cyhr67.jpg,0.919069,0.957828,0.997616
