epoch,lr,train_loss,val_loss,val_iou,val_dice,val_ap,epoch_time_sec
1,0.00009973,0.499722,0.490207,0.655727,0.751825,0.875438,27.236
2,0.00009891,0.435614,0.446252,0.701902,0.792777,0.900379,25.634
3,0.00009755,0.402867,0.424161,0.654136,0.753541,0.887378,25.465
4,0.00009568,0.372851,0.400965,0.719382,0.802769,0.898660,24.458
5,0.00009330,0.347071,0.383077,0.732656,0.814101,0.917358,23.840
6,0.00009045,0.321623,0.362703,0.751251,0.829374,0.927271,23.513
7,0.00008716,0.299989,0.350360,0.745498,0.819640,0.908092,22.970
8,0.00008346,0.281197,0.343831,0.754166,0.831910,0.921791,23.022
9,0.00007939,0.262271,0.342533,0.706329,0.786956,0.896825,22.899
10,0.00007500,0.247876,0.348766,0.707150,0.793182,0.894884,22.912
11,0.00007034,0.224895,0.313602,0.706764,0.792036,0.919585,22.577
12,0.00006545,0.214246,0.272464,0.753188,0.824397,0.919078,23.274
13,0.00006040,0.201062,0.278756,0.749845,0.822034,0.907676,24.007
14,0.00005523,0.186733,0.262261,0.755114,0.828283,0.909601,23.623
15,0.00005000,0.175107,0.264873,0.739705,0.815674,0.913686,23.419
16,0.00004477,0.164058,0.243416,0.772616,0.838524,0.925584,23.516
17,0.00003960,0.157536,0.244808,0.753700,0.825330,0.922374,23.844
18,0.00003455,0.150379,0.249514,0.751693,0.825746,0.916958,23.623
19,0.00002966,0.144314,0.230586,0.761739,0.832053,0.916402,23.819
20,0.00002500,0.138682,0.230385,0.768093,0.835313,0.919642,23.465
21,0.00002061,0.132972,0.226352,0.771057,0.838138,0.920539,24.076
22,0.00001654,0.130090,0.214992,0.779078,0.845898,0.922351,23.953
23,0.00001284,0.126363,0.220537,0.777055,0.844316,0.920335,19.571
24,0.00000955,0.125254,0.214199,0.782899,0.848474,0.920135,15.827
25,0.00000670,0.122949,0.208545,0.783996,0.849061,0.919262,15.964
26,0.00000432,0.121411,0.205466,0.784239,0.848957,0.917910,16.153
27,0.00000245,0.119971,0.214463,0.784184,0.849021,0.919236,16.601
28,0.00000109,0.120393,0.220261,0.782359,0.847740,0.920599,16.128
29,0.00000027,0.119495,0.215288,0.783155,0.848308,0.920801,16.065
30,0.00000000,0.118932,0.214037,0.783308,0.848417,0.920793,16.232
