Min_Support,Min_Confidence,Itemset,Support
0.05,0.3,{'yogurt'},0.28296562339661363
0.05,0.3,{'misc. beverages'},0.05900461775269369
0.05,0.3,{'pastry'},0.1775269368907132
0.05,0.3,{'canned beer'},0.16521292970754234
0.05,0.3,{'sausage'},0.2060030785017958
0.05,0.3,{'whole milk'},0.4581836839404823
0.05,0.3,{'soda'},0.3134940995382247
0.05,0.3,{'pickled vegetables'},0.033350436121087734
0.05,0.3,{'salty snack'},0.06926629040533606
0.05,0.3,{'hygiene articles'},0.05233453052847614
0.05,0.3,{'semi-finished bread'},0.03617239610056439
0.05,0.3,{'frankfurter'},0.1375064135454079
0.05,0.3,{'white bread'},0.0887634684453566
0.05,0.3,{'curd'},0.12083119548486403
0.05,0.3,{'whipped/sour cream'},0.15469471523858389
0.05,0.3,{'rolls/buns'},0.3496664956387891
0.05,0.3,{'beef'},0.11954848640328374
0.05,0.3,{'tropical fruit'},0.2337095946639302
0.05,0.3,{'frozen vegetables'},0.10261672652642381
0.05,0.3,{'specialty chocolate'},0.05849153412006157
0.05,0.3,{'sugar'},0.0659312467932273
0.05,0.3,{'other vegetables'},0.3766033863519754
0.05,0.3,{'butter milk'},0.06490507952796305
0.05,0.3,{'butter'},0.12647511544381734
0.05,0.3,{'detergent'},0.03258081067213956
0.05,0.3,{'frozen meals'},0.06285274499743458
0.05,0.3,{'root vegetables'},0.23063109286813752
0.05,0.3,{'dental care'},0.008465879938429965
0.05,0.3,{'cling film/bags'},0.018727552591072345
0.05,0.3,{'dish cleaner'},0.018727552591072345
0.05,0.3,{'chocolate'},0.08645459209851206
0.05,0.3,{'packaged fruit/vegetables'},0.03181118522319138
0.05,0.3,{'shopping bags'},0.16829143150333503
0.05,0.3,{'pip fruit'},0.17060030785017957
0.05,0.3,{'frozen fish'},0.025910723447922012
0.05,0.3,{'red/blush wine'},0.039763981528989224
0.05,0.3,{'margarine'},0.11698306824012314
0.05,0.3,{'softener'},0.01051821446895844
0.05,0.3,{'rice'},0.012570548999486916
0.05,0.3,{'bottled beer'},0.15879938429964083
0.05,0.3,{'chicken'},0.10056439199589533
0.05,0.3,{'bottled water'},0.21369933299127758
0.05,0.3,{'flour'},0.03642893791688045
0.05,0.3,{'skin care'},0.00513083632632119
0.05,0.3,{'white wine'},0.044125192406362236
0.05,0.3,{'photo/film'},0.019753719856336584
0.05,0.3,{'dessert'},0.08645459209851206
0.05,0.3,{'liquor (appetizer)'},0.01718830169317599
0.05,0.3,{'liver loaf'},0.012314007183170857
0.05,0.3,{'domestic eggs'},0.1331452026680349
0.05,0.3,{'hamburger meat'},0.08029758850692663
0.05,0.3,{'canned fish'},0.029502308876346844
0.05,0.3,{'cocoa drinks'},0.004104669061056952
0.05,0.3,{'herbs'},0.039250897896357106
0.05,0.3,{'newspapers'},0.13981528989225245
0.05,0.3,{'ketchup'},0.008209338122113904
0.05,0.3,{'coffee'},0.11493073370959467
0.05,0.3,{'specialty bar'},0.052591072344792204
0.05,0.3,{'kitchen towels'},0.007696254489481785
0.05,0.3,{'UHT-milk'},0.07850179579271421
0.05,0.3,{'sliced cheese'},0.051821446895844024
0.05,0.3,{'candles'},0.01693175987685993
0.05,0.3,{'candy'},0.053873781426372495
0.05,0.3,{'grapes'},0.05489994869163674
0.05,0.3,{'citrus fruit'},0.18547973319651104
0.05,0.3,{'curd cheese'},0.011800923550538737
0.05,0.3,{'processed cheese'},0.038481272447408926
0.05,0.3,{'brown bread'},0.13596716264751155
0.05,0.3,{'onions'},0.07619291944586967
0.05,0.3,{'mustard'},0.023345305284761416
0.05,0.3,{'napkins'},0.08132375577219086
0.05,0.3,{'mayonnaise'},0.018984094407388404
0.05,0.3,{'roll products '},0.02052334530528476
0.05,0.3,{'meat'},0.06362237044638276
0.05,0.3,{'hard cheese'},0.05336069779374038
0.05,0.3,{'cookware'},0.004361210877373012
0.05,0.3,{'fruit/vegetable juice'},0.12493586454592098
0.05,0.3,{'soft cheese'},0.037711646998460746
0.05,0.3,{'oil'},0.05566957414058492
0.05,0.3,{'pet care'},0.02180605438686506
0.05,0.3,{'berries'},0.0797845048742945
0.05,0.3,{'cake bar'},0.022832221652129298
0.05,0.3,{'long life bakery product'},0.06541816316059518
0.05,0.3,{'beverages'},0.0620831195484864
0.05,0.3,{'spices'},0.010005130836326322
0.05,0.3,{'baking powder'},0.0310415597742432
0.05,0.3,{'liquor'},0.02642380708055413
0.05,0.3,{'male cosmetics'},0.009492047203694202
0.05,0.3,{'fish'},0.007439712673165726
0.05,0.3,{'ham'},0.0633658286300667
0.05,0.3,{'cream cheese '},0.08850692662904053
0.05,0.3,{'pork'},0.13237557721908672
0.05,0.3,{'salt'},0.022832221652129298
0.05,0.3,{'flower (seeds)'},0.01718830169317599
0.05,0.3,{'pot plants'},0.029758850692662903
0.05,0.3,{'ice cream'},0.05643919958953309
0.05,0.3,{'snack products'},0.006926629040533607
0.05,0.3,{'waffles'},0.06900974858902001
0.05,0.3,{'cat food'},0.04386865059004618
0.05,0.3,{'vinegar'},0.012827090815802977
0.05,0.3,{'chewing gum'},0.044638276038994354
0.05,0.3,{'Instant food products'},0.01539250897896357
0.05,0.3,{'pasta'},0.030271934325295024
0.05,0.3,{'prosecco'},0.0048742945100051305
0.05,0.3,{'chocolate marshmallow'},0.01539250897896357
0.05,0.3,{'sweet spreads'},0.017444843509492047
0.05,0.3,{'condensed milk'},0.023858388917393534
0.05,0.3,{'house keeping products'},0.011544381734222679
0.05,0.3,{'dishes'},0.034120061570035914
0.05,0.3,{'popcorn'},0.012057465366854798
0.05,0.3,{'female sanitary products'},0.01026167265264238
0.05,0.3,{'dog food'},0.01718830169317599
