dataset,K,silhouette,time
business,3,0.0045134260710711594,0.38112425804138184
business,5,0.008665991746601215,0.17691636085510254
business,10,0.011384151784064435,0.4801499843597412
business,15,0.020478359928996003,0.5805208683013916
entertainment,3,0.012224743562504614,0.10342788696289062
entertainment,5,0.012422396065161488,0.13950705528259277
entertainment,10,0.018310820550527282,0.2561180591583252
entertainment,15,0.013518985792445272,0.408358097076416
politics,3,0.010929876858811423,0.11223912239074707
politics,5,0.005457232936119735,0.1728971004486084
politics,10,0.014303428590530264,0.29897189140319824
politics,15,0.01317748218883925,0.42255377769470215
sport,3,0.010288183024228164,0.11098504066467285
sport,5,0.02026100541055192,0.1681058406829834
sport,10,0.023327981569852704,0.2815542221069336
sport,15,0.021230704074372837,0.39326000213623047
tech,3,0.013488533423170619,0.12592530250549316
tech,5,0.01832615433819683,0.14143991470336914
tech,10,0.029894621462888276,0.23485708236694336
tech,15,0.0372170025428815,0.35906529426574707
