checkpoint	threshold	mean_iou	mean_pixel_error
/Users/dby051225/Desktop/VIS/U-Net/U-Net Experiment Reproduction/outputs/checkpoints/unet_weighted_v2_iter_200.caffemodel	0.52	0.000000	0.061308
/Users/dby051225/Desktop/VIS/U-Net/U-Net Experiment Reproduction/outputs/checkpoints/unet_weighted_v2_iter_200.caffemodel	0.54	0.000000	0.061308
/Users/dby051225/Desktop/VIS/U-Net/U-Net Experiment Reproduction/outputs/checkpoints/unet_weighted_v2_iter_200.caffemodel	0.56	0.000000	0.061308
/Users/dby051225/Desktop/VIS/U-Net/U-Net Experiment Reproduction/outputs/checkpoints/unet_weighted_v2_iter_200.caffemodel	0.58	0.000000	0.061308
/Users/dby051225/Desktop/VIS/U-Net/U-Net Experiment Reproduction/outputs/checkpoints/unet_weighted_v2_iter_200.caffemodel	0.60	0.000000	0.061308
/Users/dby051225/Desktop/VIS/U-Net/U-Net Experiment Reproduction/outputs/checkpoints/unet_weighted_v2_iter_400.caffemodel	0.52	0.000000	0.061308
/Users/dby051225/Desktop/VIS/U-Net/U-Net Experiment Reproduction/outputs/checkpoints/unet_weighted_v2_iter_400.caffemodel	0.54	0.000000	0.061308
/Users/dby051225/Desktop/VIS/U-Net/U-Net Experiment Reproduction/outputs/checkpoints/unet_weighted_v2_iter_400.caffemodel	0.56	0.000000	0.061308
/Users/dby051225/Desktop/VIS/U-Net/U-Net Experiment Reproduction/outputs/checkpoints/unet_weighted_v2_iter_400.caffemodel	0.58	0.000000	0.061308
/Users/dby051225/Desktop/VIS/U-Net/U-Net Experiment Reproduction/outputs/checkpoints/unet_weighted_v2_iter_400.caffemodel	0.60	0.000000	0.061308
/Users/dby051225/Desktop/VIS/U-Net/U-Net Experiment Reproduction/outputs/checkpoints/unet_weighted_v2_iter_600.caffemodel	0.52	0.000000	0.061308
/Users/dby051225/Desktop/VIS/U-Net/U-Net Experiment Reproduction/outputs/checkpoints/unet_weighted_v2_iter_600.caffemodel	0.54	0.000000	0.061308
/Users/dby051225/Desktop/VIS/U-Net/U-Net Experiment Reproduction/outputs/checkpoints/unet_weighted_v2_iter_600.caffemodel	0.56	0.000000	0.061308
/Users/dby051225/Desktop/VIS/U-Net/U-Net Experiment Reproduction/outputs/checkpoints/unet_weighted_v2_iter_600.caffemodel	0.58	0.000000	0.061308
/Users/dby051225/Desktop/VIS/U-Net/U-Net Experiment Reproduction/outputs/checkpoints/unet_weighted_v2_iter_600.caffemodel	0.60	0.000000	0.061308
/Users/dby051225/Desktop/VIS/U-Net/U-Net Experiment Reproduction/outputs/checkpoints/unet_weighted_v2_iter_800.caffemodel	0.52	0.000000	0.061308
/Users/dby051225/Desktop/VIS/U-Net/U-Net Experiment Reproduction/outputs/checkpoints/unet_weighted_v2_iter_800.caffemodel	0.54	0.000000	0.061308
/Users/dby051225/Desktop/VIS/U-Net/U-Net Experiment Reproduction/outputs/checkpoints/unet_weighted_v2_iter_800.caffemodel	0.56	0.000000	0.061308
/Users/dby051225/Desktop/VIS/U-Net/U-Net Experiment Reproduction/outputs/checkpoints/unet_weighted_v2_iter_800.caffemodel	0.58	0.000000	0.061308
/Users/dby051225/Desktop/VIS/U-Net/U-Net Experiment Reproduction/outputs/checkpoints/unet_weighted_v2_iter_800.caffemodel	0.60	0.000000	0.061308
/Users/dby051225/Desktop/VIS/U-Net/U-Net Experiment Reproduction/outputs/checkpoints/unet_weighted_v2_iter_1000.caffemodel	0.52	0.000000	0.061308
/Users/dby051225/Desktop/VIS/U-Net/U-Net Experiment Reproduction/outputs/checkpoints/unet_weighted_v2_iter_1000.caffemodel	0.54	0.000000	0.061308
/Users/dby051225/Desktop/VIS/U-Net/U-Net Experiment Reproduction/outputs/checkpoints/unet_weighted_v2_iter_1000.caffemodel	0.56	0.000000	0.061308
/Users/dby051225/Desktop/VIS/U-Net/U-Net Experiment Reproduction/outputs/checkpoints/unet_weighted_v2_iter_1000.caffemodel	0.58	0.000000	0.061308
/Users/dby051225/Desktop/VIS/U-Net/U-Net Experiment Reproduction/outputs/checkpoints/unet_weighted_v2_iter_1000.caffemodel	0.60	0.000000	0.061308
/Users/dby051225/Desktop/VIS/U-Net/U-Net Experiment Reproduction/outputs/checkpoints/unet_weighted_v2_iter_1200.caffemodel	0.52	0.000000	0.061308
/Users/dby051225/Desktop/VIS/U-Net/U-Net Experiment Reproduction/outputs/checkpoints/unet_weighted_v2_iter_1200.caffemodel	0.54	0.000000	0.061308
/Users/dby051225/Desktop/VIS/U-Net/U-Net Experiment Reproduction/outputs/checkpoints/unet_weighted_v2_iter_1200.caffemodel	0.56	0.000000	0.061308
/Users/dby051225/Desktop/VIS/U-Net/U-Net Experiment Reproduction/outputs/checkpoints/unet_weighted_v2_iter_1200.caffemodel	0.58	0.000000	0.061308
/Users/dby051225/Desktop/VIS/U-Net/U-Net Experiment Reproduction/outputs/checkpoints/unet_weighted_v2_iter_1200.caffemodel	0.60	0.000000	0.061308
